soc,ID,focal_year,iso,family_glottolog,normative_monogamy,percent_polygyny_men,percent_polygyny_women,assault,assault_original,jurisdictional_hierarchy,intercommunity_trade,military_mobilization,class_differentiation,land_tenure_Kushnick,land_ownership_Kavanagh,private_land_importance_Pryor,land_communality,agriculture_intensity,population_density,altitude,incline,latitude,longitude
Nama_Hottentot,SCCS1,1860,naq,Khoe-Kwadi,3,5,12,88,NA,2,4,2,2,NA,0,NA,NA,1,1,770.5085225,3.802852153,-26.5,17.1
Kung_Bushmen,SCCS2,1950,knw,Kxa,3,10,19,1,1,1,2,3,1,NA,1,2,3,1,1,1146.313709,0.19707559,-19.5,18.3
Thonga,SCCS3,1895,tso,Atlantic-Congo,5,40,66,88,NA,3,4,1,4,NA,1,NA,3,3,5,158.3395816,1.162379057,-25.4,32.8
Lozi,SCCS4,1900,loz,Atlantic-Congo,5,40,NA,88,NA,4,4,1,4,NA,0,NA,3,5,3,1050.433449,0.244639377,-17.47,24.3
Mbundu,SCCS5,1890,umb,Atlantic-Congo,5,27,45,88,NA,3,2,2,4,NA,NA,NA,NA,3,3,1680.269562,0.971032547,-12.5,16.3
Suku,SCCS6,1920,sub,Atlantic-Congo,5,27,41,7,2.5,4,4,NA,4,NA,NA,NA,2,3,3,875.0457515,1.276658296,-6.1,18.1
Bemba,SCCS7,1897,bem,Atlantic-Congo,3,2,7,88,NA,3,1,NA,4,NA,1,NA,NA,3,2,1228.933626,0.490130423,-9.8,29.08
Nyakyusa,SCCS8,1934,nyy,Atlantic-Congo,5,44,70,0,NA,3,2,1,1,NA,1,NA,2,5,4,1026.743062,2.802452968,-9.3,34.7
Hadza,SCCS9,1930,hts,Hadza,2,6,12,88,NA,1,2,NA,1,NA,NA,1,NA,1,1,1320.193027,1.814495716,-3.9,35.6
Luguru,SCCS10,1925,ruf,Atlantic-Congo,3,NA,NA,88,NA,1,4,3,1,NA,NA,3,NA,3,5,451.9252396,1.633413648,-6.8,37
Kikuyu,SCCS11,1920,kik,Atlantic-Congo,5,NA,32,7,2.5,1,4,1,2,NA,1,NA,3,5,5,1467.02288,1.630076194,-0.5,37.45
Ganda,SCCS12,1875,lug,Atlantic-Congo,5,55,80,0,NA,4,4,1,4,NA,0,NA,3,5,5,1154.083676,0.612848357,0,32.4
Mbuti,SCCS13,1950,efe,Central Sudanic,3,6,12,5,2,1,4,3,1,NA,NA,1,3,1,1,717.1634058,0.743140259,2.1,28
Nkundo_Mongo,SCCS14,1930,lol,Atlantic-Congo,5,NA,NA,0,NA,3,4,2,1,NA,1,NA,NA,3,2,343.8233317,0.197422933,-1.9,18.1
Banen,SCCS15,1935,baz,Atlantic-Congo,5,NA,NA,0,NA,1,3,2,1,NA,NA,NA,NA,3,3,672.715888,2.502488922,4.4,10
Tiv,SCCS16,1920,tiv,Atlantic-Congo,5,20,52,5,2,2,5,2,1,NA,0,NA,1,3,4,171.1927008,0.751722712,6.47,7.55
Ibo,SCCS17,1935,ibo,Atlantic-Congo,5,24,46,7,2.5,2,5,1,1,NA,1,3.5,NA,3,5,69.67776489,0.326724042,4.85,7.02
Fon,SCCS18,1890,fon,Atlantic-Congo,5,NA,NA,88,NA,4,5,1,4,NA,NA,NA,3,3,4,136.0613835,0.568671813,7.1,1.9
Ashanti,SCCS19,1895,aka,Atlantic-Congo,5,49,72,0,NA,3,4,1,4,NA,NA,NA,3,3,4,250.6974991,1.137873026,6.72,-1.6
Mende,SCCS20,1945,men,Mande,5,90,97,88,NA,2,5,1,4,NA,1,NA,NA,3,4,85.96437176,0.471903933,7.53,-12.5
Wolof,SCCS21,1950,wol,Atlantic-Congo,5,39,61,0,NA,3,5,1,5,NA,1,3.5,2,3,5,33.30326518,0.254272313,13.53,-14.77
Bambara,SCCS22,1902,bam,Mande,5,NA,NA,8,2.75,2,4,2,4,NA,0,NA,2,5,3,325.3083142,0.371152453,12.9,-7.3
Tallensi,SCCS23,1934,gur,Atlantic-Congo,5,40,62,1,1,1,5,2,2,NA,1,3,1,5,5,206.4969174,0.555670197,10.5,-0.4
Songhai,SCCS24,1940,"hmb, khq, ses",Songhay,2,1,2,3,1.5,4,4,1,5,NA,NA,NA,NA,5,3,276.2189125,0.171648572,16.72,-3
